wl_ang,F13,F13+2.5*5F11,F13+5.0*5F11,F13+7.5*5F11,F13+10.0*5F11,F13+12.5*5F11,5F11
6563.044921875,35905836.0,113485088.0,191064352.0,268643584.0,346222848.0,423802112.0,39017764.0
6563.087890625,36676540.0,113789728.0,190902912.0,268016096.0,345129280.0,422242464.0,38947772.0
6563.13134765625,37556184.0,114228216.0,190900256.0,267572288.0,344244320.0,420916352.0,38931512.0
6563.17578125,38584616.0,114811888.0,191039168.0,267266432.0,343493696.0,419720960.0,38970876.0
6563.22119140625,39715720.0,115491312.0,191266912.0,267042496.0,342818080.0,418593664.0,39068296.0
6563.26904296875,40967808.0,116545160.0,192122512.0,267699856.0,343277216.0,418854560.0,39227744.0
6563.3193359375,42297668.0,117802720.0,193307776.0,268812864.0,344317888.0,419822976.0,39452972.0
6563.37451171875,43876808.0,119618256.0,195359712.0,271101152.0,346842592.0,422584064.0,39737344.0
6563.43701171875,45686348.0,123269552.0,200852768.0,278435968.0,356019168.0,433602400.0,40083932.0
6563.5107421875,47959144.0,129509496.0,211059840.0,292610208.0,374160544.0,455710880.0,40456012.0
6563.6025390625,50837312.0,140083344.0,229329376.0,318575424.0,407821440.0,497067456.0,40858804.0
6563.72119140625,54487976.0,150438688.0,246389376.0,342340064.0,438290784.0,534241472.0,41270420.0
6563.88330078125,59175168.0,158875952.0,258576736.0,358277504.0,457978304.0,557679104.0,41407548.0
6564.11181640625,64656712.0,161836240.0,259015776.0,356195296.0,453374816.0,550554368.0,39631528.0
6564.44384765625,69760928.0,149604672.0,229448416.0,309292160.0,389135904.0,468979616.0,32556568.0
6564.9365234375,72857488.0,128249232.0,183640960.0,239032704.0,294424448.0,349816192.0,22717338.0
6565.68017578125,73391584.0,106953192.0,140514800.0,174076416.0,207638016.0,241199616.0,13962246.0
6566.81396484375,71645888.0,90206168.0,108766448.0,127326736.0,145887008.0,164447296.0,7952048.0
6568.5546875,68174088.0,77793288.0,87412496.0,97031696.0,106650896.0,116270096.0,4370913.5
6571.240234375,63690540.0,68838168.0,73985800.0,79133424.0,84281056.0,89428688.0,2579884.5
6575.3984375,59434192.0,62589908.0,65745620.0,68901336.0,72057048.0,75212768.0,1781663.375
6581.85302734375,56163584.0,58502120.0,60840652.0,63179188.0,65517720.0,67856256.0,1453467.0
6591.89306640625,54140668.0,56159624.0,58178580.0,60197536.0,62216488.0,64235444.0,1323943.5
6607.546875,53015112.0,54909140.0,56803168.0,58697196.0,60591224.0,62485252.0,1271487.875
6690.0,50800524.0,52642064.0,54483608.0,56325148.0,58166688.0,60008228.0,1265366.25
7000.0,44976020.0,46795908.0,48615800.0,50435688.0,52255576.0,54075464.0,1273250.375
7400.0,38610932.0,40392752.0,42174568.0,43956388.0,45738208.0,47520028.0,1273483.5
7800.0,33311418.0,35048060.0,36784704.0,38521348.0,40257992.0,41994632.0,1264727.875
8205.7001953125,28816064.0,30500724.0,32185384.0,33870044.0,35554704.0,37239360.0,1248008.75
8206.0,27393110.0,28136964.0,28880820.0,29624674.0,30368530.0,31112384.0,870523.75
8760.0,22578616.0,23275098.0,23971578.0,24668060.0,25364540.0,26061022.0,849917.9375
10000.0,15097435.0,15690992.0,16284550.0,16878108.0,17471664.0,18065222.0,784977.8125
